Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Dancing with the Stars: We Dance!,Wii,2008.0,Misc,Activision,0.35,0.0,0.0,0.03
Age of Empires III,PC,2005.0,Strategy,Microsoft Game Studios,0.0,0.33,0.0,0.05
Madden NFL 11,PSP,2010.0,Sports,Electronic Arts,0.35,0.0,0.0,0.03
Gravitar,2600,1982.0,Action,Atari,0.35,0.02,0.0,0.0
EyeToy Play 2,PS2,2004.0,Misc,Sony Computer Entertainment,0.18,0.14,0.0,0.05
Mobile Suit Gundam: Extreme VS Full Boost,PS3,2014.0,Fighting,Namco Bandai Games,0.0,0.0,0.38,0.0
Dance Dance Revolution Ultramix 3,XB,2005.0,Simulation,Konami Digital Entertainment,0.28,0.08,0.0,0.01
LEGO Marvel Super Heroes,DS,2013.0,Action,Warner Bros. Interactive Entertainment,0.22,0.13,0.0,0.03
WWE SmackDown vs. Raw 2011,PS2,2010.0,Fighting,THQ,0.24,0.07,0.0,0.07
Pro Evolution Soccer 2011 3D,3DS,2011.0,Sports,Konami Digital Entertainment,0.11,0.13,0.11,0.02
Just Dance 2014,PS3,2013.0,Misc,Ubisoft,0.17,0.14,0.0,0.06
Wii Sports Club,WiiU,2014.0,Sports,Nintendo,0.17,0.14,0.04,0.03
Harry Potter and the Prisoner of Azkaban,GC,2004.0,Action,Electronic Arts,0.29,0.08,0.0,0.01
Paws & Claws: Pampered Pets,DS,2009.0,Simulation,THQ,0.35,0.0,0.0,0.03
Puppy Palace,DS,2008.0,Simulation,Ubisoft,0.35,0.0,0.0,0.03
Peppa Pig: The Game,Wii,2009.0,Misc,Pinnacle,0.0,0.34,0.0,0.03
Skylanders Giants,WiiU,2012.0,Action,Activision,0.22,0.12,0.0,0.03
GRID 2,PS3,2013.0,Racing,Codemasters,0.07,0.22,0.01,0.08
Solaris,2600,1986.0,Shooter,Atari,0.35,0.02,0.0,0.0
Resident Evil Zero,PS4,2016.0,Action,Capcom,0.1,0.17,0.05,0.05
Super Dragon Ball Z,PS2,2006.0,Fighting,Atari,0.09,0.07,0.19,0.02
Scooby-Doo! and the Spooky Swamp,DS,2010.0,Action,Warner Bros. Interactive Entertainment,0.25,0.09,0.0,0.03
Petz Rescue: Ocean Patrol,DS,2008.0,Adventure,Ubisoft,0.35,0.0,0.0,0.03
The Golden Compass,PSP,1997.0,Action,Sega,0.11,0.16,0.0,0.1
Tobal 2,PS,1997.0,Fighting,SquareSoft,0.0,0.0,0.35,0.02
Farming Simulator 2015,PS3,2015.0,Simulation,Koch Media,0.11,0.2,0.0,0.06
NBA 2K10,Wii,2009.0,Sports,Take-Two Interactive,0.34,0.0,0.0,0.03
Persona 5,PS4,2016.0,Role-Playing,Atlus,0.0,0.0,0.37,0.0
Disney Sing It,PS3,2008.0,Misc,Disney Interactive Studios,0.28,0.06,0.0,0.04
Tiger Woods PGA Tour 09,PS2,2008.0,Sports,Electronic Arts,0.16,0.0,0.0,0.21
Ultimate Spider-Man,GC,2005.0,Action,Activision,0.29,0.07,0.0,0.01
NBA Inside Drive 2002,XB,2002.0,Sports,Microsoft Game Studios,0.28,0.08,0.0,0.01
Major League Baseball 2K6,X360,2006.0,Sports,Spike,0.34,0.0,0.0,0.03
Imagine: Party Babyz,Wii,2008.0,Simulation,Ubisoft,0.33,0.02,0.0,0.03
LEGO Star Wars III: The Clone Wars,PSP,2011.0,Action,LucasArts,0.14,0.15,0.0,0.08
NBA 2K7,PS3,2006.0,Sports,Take-Two Interactive,0.3,0.04,0.0,0.03
Kileak: The DNA Imperative,PS,1994.0,Shooter,Sony Computer Entertainment,0.08,0.06,0.21,0.02
Petz: Catz 2,PS2,2006.0,Simulation,Ubisoft,0.18,0.14,0.0,0.05
Just Dance 4,WiiU,2012.0,Misc,Ubisoft,0.21,0.13,0.0,0.03
Phantasy Star Portable 2: Infinity,PSP,2011.0,Role-Playing,Sega,0.0,0.0,0.37,0.0
"Monsters, Inc. Scream Arena",GC,2002.0,Platform,THQ,0.29,0.07,0.0,0.01
Reel Fishing III,PS2,2003.0,Sports,Natsume,0.18,0.14,0.0,0.05
Cabela's Deer Hunt 2005 Season,PS2,2004.0,Sports,Activision,0.18,0.14,0.0,0.05
Monster Jam: Path of Destruction,DS,2010.0,Racing,Activision,0.34,0.0,0.0,0.03
Need for Speed: Hot Pursuit,PC,2010.0,Racing,Electronic Arts,0.12,0.2,0.0,0.05
Rampage: Total Destruction,PS2,2006.0,Action,Midway Games,0.18,0.14,0.0,0.05
High Heat Major League Baseball 2003,PS2,2002.0,Sports,3DO,0.18,0.14,0.0,0.05
Trivial Pursuit,X360,2009.0,Misc,Electronic Arts,0.12,0.21,0.0,0.04
Super Formation Soccer 94,SNES,1994.0,Sports,Human Entertainment,0.0,0.0,0.37,0.0
Kingdom Under Fire: Circle of Doom,X360,2007.0,Role-Playing,Microsoft Game Studios,0.18,0.12,0.04,0.03
Panzer Dragoon,SAT,1995.0,Shooter,Sega,0.0,0.0,0.37,0.0
Spider-Man: Friend or Foe,PS2,2007.0,Action,Activision,0.31,0.01,0.0,0.05
Yarudora Series Vol.1: Double Cast,PS,1998.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.35,0.02
Rec Room Games,Wii,2009.0,Sports,Destineer,0.35,0.0,0.0,0.03
EA Sports MMA,PS3,2010.0,Fighting,Electronic Arts,0.16,0.14,0.01,0.06
Guitar Hero On Tour: Modern Hits,DS,2009.0,Misc,Activision,0.13,0.2,0.0,0.04
Quake 4,X360,2005.0,Shooter,Activision,0.32,0.02,0.0,0.03
Tiger Woods PGA Tour 14,PS3,2013.0,Sports,Electronic Arts,0.16,0.14,0.0,0.07
Skate,PS3,2007.0,Sports,Electronic Arts,0.29,0.04,0.0,0.03
Cabela's Big Game Hunter 2012,Wii,2011.0,Sports,Activision,0.33,0.02,0.0,0.02
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,N64,2000.0,Role-Playing,ChunSoft,0.0,0.0,0.32,0.05
Turok: Rage Wars,N64,1999.0,Shooter,Acclaim Entertainment,0.3,0.06,0.0,0.0
Scooby-Doo! Classic Creep Capers,N64,2000.0,Action,THQ,0.3,0.06,0.0,0.0
Rage,PC,2011.0,Shooter,Bethesda Softworks,0.14,0.18,0.0,0.06
Dragonfire,2600,1981.0,Action,Imagic,0.35,0.02,0.0,0.0
Custom Robo,GC,2004.0,Role-Playing,Nintendo,0.29,0.07,0.0,0.01
Prince of Persia: The Forgotten Sands,PSP,2010.0,Action,Ubisoft,0.09,0.18,0.01,0.1
BioShock The Collection,PS4,2016.0,Shooter,Take-Two Interactive,0.1,0.19,0.02,0.06
Theatrhythm Final Fantasy: Curtain Call,3DS,2014.0,Misc,Square Enix,0.13,0.08,0.15,0.02
DiRT 2,Wii,2009.0,Racing,Codemasters,0.1,0.22,0.0,0.04
Pac-Man World 2,GC,2002.0,Action,Nintendo,0.28,0.07,0.0,0.01
Kotoba no Puzzle: Mojipittan DS,DS,2007.0,Puzzle,Namco Bandai Games,0.0,0.0,0.37,0.0
Tomb Raider: Legend,X360,2006.0,Action,Eidos Interactive,0.27,0.07,0.01,0.03
Rocket League,PS4,2016.0,Sports,505 Games,0.03,0.28,0.0,0.05
The BIGS,Wii,2007.0,Sports,Take-Two Interactive,0.34,0.0,0.0,0.03
Barbie Horse Adventures: Blue Ribbon Race,GBA,2003.0,Sports,Knowledge Adventure,0.26,0.1,0.0,0.01
Destiny: The Taken King,PS3,2015.0,Shooter,Activision,0.17,0.11,0.02,0.06
Skylanders: SuperChargers,PS3,2015.0,Action,Activision,0.16,0.15,0.0,0.06
The Legend of Spyro: A New Beginning,DS,2006.0,Platform,Vivendi Games,0.33,0.01,0.0,0.03
Imagine: Salon Stylist,DS,2009.0,Simulation,Ubisoft,0.23,0.1,0.0,0.03
Juiced 2: Hot Import Nights,PSP,2007.0,Racing,THQ,0.06,0.2,0.0,0.11
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,2003.0,Adventure,Square Enix,0.0,0.0,0.36,0.01
Dungeon Siege III,X360,2011.0,Role-Playing,Square Enix,0.21,0.12,0.01,0.03
Hell's Kitchen: The Game,DS,2008.0,Simulation,Ubisoft,0.34,0.0,0.0,0.03
DiRT Rally,PS4,2016.0,Racing,Codemasters,0.04,0.27,0.0,0.05
NFL Street 2 Unleashed,PSP,2005.0,Sports,Electronic Arts,0.34,0.0,0.0,0.03
Super Robot Taisen EX,SNES,1994.0,Strategy,Banpresto,0.0,0.0,0.37,0.0
FIFA Street 2,PS2,2006.0,Sports,Electronic Arts,0.17,0.13,0.02,0.04
Virtua Tennis 2009,Wii,2009.0,Sports,Sega,0.12,0.21,0.0,0.04
Overlord: Dark Legend,Wii,2009.0,Action,Codemasters,0.11,0.22,0.0,0.04
Bottom of the 9th,N64,1999.0,Sports,Konami Digital Entertainment,0.37,0.0,0.0,0.0
The Legend of Spyro: The Eternal Night,DS,2007.0,Platform,Vivendi Games,0.32,0.02,0.0,0.03
Shin Megami Tensei II,SNES,1994.0,Role-Playing,Atlus,0.0,0.0,0.37,0.0
Harry Potter and the Order of the Phoenix,PSP,2007.0,Action,Electronic Arts,0.1,0.17,0.0,0.1
Wanted: Weapons of Fate,X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.17,0.15,0.0,0.04
Xenosaga Episode III: Also sprach Zarathustra,PS2,2006.0,Role-Playing,Namco Bandai Games,0.09,0.07,0.18,0.02
Skylanders: Trap Team,XOne,2014.0,Action,Activision,0.26,0.07,0.0,0.04
Rune Factory: Frontier,Wii,2008.0,Role-Playing,Rising Star Games,0.16,0.13,0.04,0.03
Virtua Fighter 3tb,DC,1998.0,Fighting,Sega,0.0,0.0,0.37,0.0
Medieval II: Total War Gold Edition,PC,2008.0,Strategy,Sega,0.0,0.34,0.0,0.03
Mini Ninjas,Wii,2009.0,Action,Eidos Interactive,0.16,0.16,0.0,0.04
Naruto Shippuden: Ninja Destiny 2,DS,2008.0,Fighting,Takara Tomy,0.19,0.02,0.13,0.02
Mini-Yonku GB: Let's & Go!!,GB,1997.0,Strategy,ASCII Entertainment,0.0,0.0,0.37,0.0
Scribblenauts: Unlimited,WiiU,2012.0,Action,Warner Bros. Interactive Entertainment,0.25,0.09,0.0,0.03
The House of the Dead: Overkill - Extended Cut,PS3,2011.0,Shooter,Sega,0.15,0.16,0.0,0.06
Marvel: Ultimate Alliance,PSP,2006.0,Role-Playing,Activision,0.33,0.0,0.0,0.03
The Sims 2: Castaway,PS2,2007.0,Simulation,Electronic Arts,0.3,0.01,0.0,0.05
NCAA Football 07,PSP,2006.0,Sports,Electronic Arts,0.34,0.0,0.0,0.03
Batman: Arkham City,WiiU,2012.0,Action,Warner Bros. Interactive Entertainment,0.16,0.18,0.0,0.03
NBA Live 2003,XB,2009.0,Sports,Electronic Arts,0.31,0.04,0.0,0.01
Fragile Dreams: Farewell Ruins of the Moon,Wii,2009.0,Role-Playing,Rising Star Games,0.16,0.12,0.06,0.03
GoldenEye: Rogue Agent,GC,2004.0,Shooter,Electronic Arts,0.28,0.07,0.0,0.01
Need for Speed: The Run,PC,2011.0,Action,Electronic Arts,0.09,0.21,0.0,0.07
Zero4 Champ RR,SNES,1994.0,Sports,Media Rings,0.0,0.0,0.36,0.0
Dragon Ball Z: Infinite World,PS2,2008.0,Fighting,Namco Bandai Games,0.08,0.06,0.21,0.02
Elite Beat Agents,DS,2006.0,Misc,Nintendo,0.3,0.03,0.0,0.03
Nonomura Byoin no Hitobito,SAT,1996.0,Adventure,Elf,0.0,0.0,0.36,0.0
ESPN X Games Skateboarding,PS2,2001.0,Sports,Konami Digital Entertainment,0.18,0.14,0.0,0.05
Sid Meier's Civilization: Beyond Earth,PC,2014.0,Strategy,Take-Two Interactive,0.11,0.22,0.0,0.03
NHL 15,PS3,2014.0,Sports,Electronic Arts,0.21,0.09,0.0,0.06
Castlevania: Order of Ecclesia,DS,2008.0,Platform,Konami Digital Entertainment,0.27,0.02,0.04,0.03
Build-A-Bear Workshop: A Friend Fur All Seasons,Wii,2008.0,Simulation,Game Factory,0.33,0.0,0.0,0.03
Dreamworks Madagascar Kartz,DS,2009.0,Racing,Activision,0.25,0.08,0.0,0.03
Left 4 Dead 2,PC,2009.0,Shooter,Valve Software,0.0,0.32,0.0,0.04
Green Day: Rock Band,Wii,2010.0,Misc,MTV Games,0.22,0.11,0.0,0.03
"999: Nine Hours, Nine Persons, Nine Doors",DS,2009.0,Adventure,ChunSoft,0.31,0.0,0.03,0.02
Super Fire ProWrestling Special,SNES,1994.0,Fighting,Human Entertainment,0.0,0.0,0.36,0.0
Star Fox: Zero,WiiU,2016.0,Shooter,Nintendo,0.17,0.1,0.07,0.03
SAW,PS3,2009.0,Action,Konami Digital Entertainment,0.13,0.17,0.0,0.06
Yuu Yuu Hakusho,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,0.36,0.0
Tom Clancy's HAWX 2,X360,2010.0,Action,Ubisoft,0.24,0.09,0.01,0.03
Kamaitachi no Yoru 2,PS2,2002.0,Adventure,ChunSoft,0.0,0.0,0.36,0.0
High Heat Major League Baseball 2004,PS2,2003.0,Sports,3DO,0.18,0.14,0.0,0.05
Robots,PS2,2005.0,Action,Vivendi Games,0.18,0.14,0.0,0.05
NARC,PS2,2005.0,Shooter,Midway Games,0.18,0.14,0.0,0.05
One Piece: Gigant Battle!,DS,2010.0,Fighting,Namco Bandai Games,0.0,0.0,0.36,0.0
Dragon Ball Z: Attack of the Saiyans,DS,2009.0,Role-Playing,Namco Bandai Games,0.12,0.02,0.21,0.01
My Horse & Me,DS,2007.0,Sports,Atari,0.33,0.0,0.0,0.03
Bionic Commando,PS3,2009.0,Platform,Capcom,0.12,0.17,0.01,0.06
Monster Rancher 3,PS2,2001.0,Simulation,Tecmo Koei,0.11,0.09,0.14,0.03
The Incredibles: Rise of the Underminer,PS2,2005.0,Action,THQ,0.18,0.14,0.0,0.05
Sword Art Online: Lost Song,PSV,2015.0,Role-Playing,Namco Bandai Games,0.06,0.04,0.23,0.03
MechWarrior 2: 31st Century Combat,PS,1997.0,Simulation,Activision,0.2,0.14,0.0,0.02
Zoo Tycoon (2013),XOne,2013.0,Simulation,Microsoft Game Studios,0.18,0.15,0.0,0.03
Hamtaro: Ham-Ham Heartbreak,GBA,2002.0,Action,Nintendo,0.26,0.1,0.0,0.01
Okage: Shadow King,PS2,2001.0,Role-Playing,Sony Computer Entertainment,0.14,0.11,0.08,0.04
Mobile Suit Z-Gundam,PS,1997.0,Action,Namco Bandai Games,0.0,0.0,0.34,0.02
Cubix Robots for Everyone: Clash 'n' Bash,GBA,2009.0,Action,Unknown,0.26,0.1,0.0,0.01
BlazBlue: Calamity Trigger,X360,2009.0,Fighting,PQube,0.21,0.08,0.04,0.03
Kirby's Dream Land 3,SNES,1997.0,Platform,Nintendo,0.0,0.0,0.36,0.0
Big Bass World Championship,PS,1997.0,Sports,Starfish,0.2,0.14,0.0,0.02
NFL GameDay 2001,PS2,2000.0,Sports,Sony Computer Entertainment,0.18,0.14,0.0,0.05
NBA 2K6,XB,2005.0,Action,Take-Two Interactive,0.27,0.08,0.0,0.01
Saban's Power Rangers: Lightspeed Rescue,N64,2000.0,Action,THQ,0.29,0.06,0.0,0.0
Tetrisphere,N64,1997.0,Puzzle,Nintendo,0.29,0.06,0.0,0.0
Jurassic Park,NES,1993.0,Action,Ocean,0.25,0.1,0.0,0.01
Mystical Ninja starring Goemon,N64,1997.0,Action,Konami Digital Entertainment,0.07,0.02,0.23,0.04
Marvel Super Hero Squad,Wii,2009.0,Fighting,THQ,0.3,0.03,0.0,0.03
The Chronicles of Narnia: Prince Caspian,Wii,2008.0,Action,Disney Interactive Studios,0.31,0.02,0.0,0.03
World's Scariest Police Chases,PS,2001.0,Racing,Activision,0.2,0.14,0.0,0.02
Shaun Palmer's Pro Snowboarder,GBA,2001.0,Sports,Activision,0.26,0.1,0.0,0.01
North American Hunting Extravaganza,Wii,2008.0,Sports,Zushi Games,0.33,0.0,0.0,0.03
ZhuZhu Pets: Featuring The Wild Bunch,Wii,2010.0,Simulation,Activision,0.3,0.03,0.0,0.03
MechAssault 2: Lone Wolf,XB,2004.0,Simulation,Microsoft Game Studios,0.27,0.08,0.0,0.01
Valkyrie Profile: Lenneth,PSP,2006.0,Role-Playing,Square Enix,0.17,0.01,0.16,0.02
Hamster Club 3,GBA,2002.0,Simulation,Jorudan,0.0,0.0,0.35,0.01
Breath of Fire II,SNES,1994.0,Role-Playing,Laguna,0.0,0.0,0.36,0.0
LEGO Racers,PS,1999.0,Racing,LEGO Media,0.2,0.14,0.0,0.02
Just Dance 2016,PS4,2015.0,Misc,Ubisoft,0.17,0.13,0.0,0.06
ESPN NFL Football,XB,2003.0,Sports,Sega,0.27,0.08,0.0,0.01
Naruto: Ultimate Ninja 3 (JP sales),PS2,2005.0,Fighting,Atari,0.0,0.0,0.36,0.0
Rapala Pro Fishing,PS2,2004.0,Sports,Zoo Digital Publishing,0.18,0.14,0.0,0.05
ATV/Monster Truck Mayhem,DS,2007.0,Racing,"Destination Software, Inc",0.33,0.0,0.0,0.02
J-League Pro Soccer Club o Tsukurou '04,PS2,2004.0,Sports,Sega,0.0,0.0,0.36,0.0
Spider-Man: Shattered Dimensions,X360,2010.0,Action,Activision,0.24,0.08,0.0,0.03
Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,2012.0,Strategy,Namco Bandai Games,0.0,0.0,0.36,0.0
TMNT,Wii,2007.0,Action,Ubisoft,0.3,0.03,0.0,0.03
Fossil Fighters: Frontier,3DS,2014.0,Role-Playing,Nintendo,0.08,0.04,0.23,0.01
Disney's The Haunted Mansion,PS2,2003.0,Platform,Take-Two Interactive,0.18,0.14,0.0,0.05
Arc the Lad: Twilight of the Spirits,PS2,2003.0,Role-Playing,Sony Computer Entertainment,0.18,0.14,0.0,0.05
Dance Dance Revolution 3rdMix,PS,2000.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.33,0.02
Ryu Ga Gotoku Kenzan!,PS3,2008.0,Adventure,Sega,0.0,0.0,0.36,0.0
Super Robot Taisen A,GBA,2001.0,Strategy,Banpresto,0.0,0.0,0.35,0.01
Watch Dogs 2,XOne,2016.0,Action,Ubisoft,0.17,0.16,0.0,0.03
Tiger Woods PGA Tour 09,PSP,2008.0,Sports,Electronic Arts,0.07,0.18,0.0,0.1
Boxer's Road,PS,1995.0,Fighting,New,0.0,0.0,0.33,0.02
Frogs And Flies,2600,1981.0,Action,Mattel Interactive,0.33,0.02,0.0,0.0
Harry Potter and the Chamber of Secrets,XB,2002.0,Action,Electronic Arts,0.27,0.08,0.0,0.01
Toriko: Gourmet Survival!,PSP,2011.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.36,0.0
South Park Rally,PS,1998.0,Racing,Acclaim Entertainment,0.2,0.13,0.0,0.02
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994.0,Platform,Konami Digital Entertainment,0.0,0.0,0.36,0.0
Arctic Thunder,PS2,2001.0,Racing,Midway Games,0.17,0.14,0.0,0.05
NHL 2K10,PS2,2009.0,Sports,Take-Two Interactive,0.17,0.14,0.0,0.05
J-League Pro Soccer Club o Tsukurou!,DC,1999.0,Sports,Sega,0.0,0.0,0.36,0.0
ESPN: Sports Connection,WiiU,2012.0,Sports,Ubisoft,0.2,0.12,0.0,0.03
Digging for Dinosaurs,DS,2010.0,Action,Scholastic Inc.,0.33,0.0,0.0,0.02
Formula 1 Championship Edition,PS,1997.0,Racing,Psygnosis,0.06,0.04,0.23,0.02
Shrek,XB,2001.0,Platform,TDK Mediactive,0.25,0.1,0.0,0.01
Dragon's Crown,PSV,2013.0,Role-Playing,Nippon Ichi Software,0.14,0.05,0.12,0.05
Thief (2014),PS3,2014.0,Action,Square Enix,0.1,0.17,0.02,0.05
Blasto,PS,1998.0,Action,Sony Computer Entertainment,0.2,0.13,0.0,0.02
Wipeout 2048,PSV,2012.0,Racing,Sony Computer Entertainment,0.13,0.17,0.0,0.05
Wonder Pets! Save the Animals!,DS,2008.0,Adventure,Take-Two Interactive,0.33,0.0,0.0,0.02
Backyard Baseball 2006,GBA,2005.0,Sports,Atari,0.25,0.09,0.0,0.01
Cabela's Outdoor Adventures (2006),PS2,2005.0,Sports,Zoo Digital Publishing,0.17,0.14,0.0,0.05
Trauma Center: Under the Knife,DS,2005.0,Simulation,Nintendo,0.3,0.01,0.02,0.03
Press Your Luck 2010 Edition,Wii,2009.0,Misc,Ubisoft,0.33,0.0,0.0,0.03
Nicktoons: Unite!,GC,2005.0,Adventure,THQ,0.27,0.07,0.0,0.01
Farming Simulator 2015,PS4,2015.0,Simulation,Koch Media,0.1,0.2,0.0,0.06
Earth Defense Force 2025,PS3,2013.0,Shooter,D3Publisher,0.04,0.02,0.27,0.01
Middle-Earth: Shadow of Mordor,PC,2014.0,Action,Warner Bros. Interactive Entertainment,0.12,0.2,0.0,0.03
Suikoden V,PS2,2006.0,Role-Playing,Konami Digital Entertainment,0.08,0.06,0.19,0.02
Picross 2,GB,1996.0,Puzzle,Nintendo,0.0,0.0,0.35,0.0
SOCOM: Tactical Strike,PSP,2007.0,Shooter,Sony Computer Entertainment,0.32,0.01,0.0,0.03
Farming Simulator 2015,X360,2015.0,Simulation,Koch Media,0.22,0.11,0.0,0.03
Tiger Woods PGA Tour 14,X360,2013.0,Sports,Electronic Arts,0.21,0.12,0.0,0.03
Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013.0,Action,Namco Bandai Games,0.0,0.0,0.35,0.0
U-Sing,Wii,2009.0,Misc,Mindscape,0.0,0.32,0.0,0.03
Outlaw Golf 2,PS2,2004.0,Sports,Global Star,0.17,0.14,0.0,0.05
Momotarou Dentetsu 12,PS2,2003.0,Misc,Hudson Soft,0.0,0.0,0.35,0.0
LocoRoco 2,PSP,2008.0,Platform,Sony Computer Entertainment,0.21,0.09,0.01,0.04
Football Manager Handheld 2010,PSP,2009.0,Sports,Sega,0.0,0.26,0.0,0.09
Disney's Tarzan: Return to the Jungle,GBA,2002.0,Action,Activision,0.25,0.09,0.0,0.01
Batman: Rise of Sin Tzu,PS2,2003.0,Action,Ubisoft,0.17,0.13,0.0,0.05
Cabela's Dangerous Hunts,XB,2003.0,Sports,Zoo Digital Publishing,0.26,0.08,0.0,0.01
AMF Bowling World Lanes,Wii,2008.0,Sports,Bethesda Softworks,0.33,0.0,0.0,0.03
Kinectimals: Now with Bears!,X360,2011.0,Misc,Microsoft Game Studios,0.27,0.06,0.0,0.03
G-Force,PSP,2009.0,Action,Electronic Arts,0.24,0.06,0.0,0.05
Worms: Open Warfare 2,DS,2007.0,Strategy,THQ,0.07,0.24,0.0,0.04
Jikkyou Powerful Pro Yakyuu 13,PS2,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.35,0.0
Dark Void,PS3,2010.0,Action,Capcom,0.18,0.12,0.0,0.05
Guitar Hero: Smash Hits,PS3,2009.0,Misc,Activision,0.2,0.11,0.0,0.05
Mega Man X3,SNES,1995.0,Action,Laguna,0.04,0.01,0.3,0.0
Stunt Race FX,SNES,1993.0,Racing,Nintendo,0.0,0.0,0.35,0.0
NHL 2K10,Wii,2009.0,Sports,Take-Two Interactive,0.32,0.01,0.0,0.03
Bloody Roar 3,PS2,2001.0,Fighting,Virgin Interactive,0.15,0.11,0.05,0.04
WWE Crush Hour,PS2,2003.0,Racing,THQ,0.17,0.13,0.0,0.04
Persona 2: Eternal Punishment,PS,2000.0,Role-Playing,Atlus,0.03,0.02,0.28,0.02
Homefront: The Revolution,PS4,2016.0,Shooter,Deep Silver,0.06,0.21,0.03,0.05
Assassin's Creed III,WiiU,2012.0,Action,Ubisoft,0.19,0.13,0.0,0.03
One Piece: Burning Blood,PS4,2016.0,Fighting,Namco Bandai Games,0.11,0.13,0.07,0.05
Star Wars: Flight of the Falcon,GBA,2003.0,Action,THQ,0.25,0.09,0.0,0.01
One Piece: Gigant Battle 2 Shin Sekai,DS,2011.0,Fighting,Namco Bandai Games,0.0,0.0,0.35,0.0
Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009.0,Fighting,Ubisoft,0.33,0.0,0.0,0.03
Toukiden: The Age of Demons,PSV,2013.0,Action,Tecmo Koei,0.04,0.04,0.25,0.02
Metro: Last Light,X360,2013.0,Action,Deep Silver,0.17,0.15,0.0,0.03
Jikkyou Powerful Pro Yakyuu 2000,N64,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.06
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,2015.0,Action,Sega,0.15,0.05,0.14,0.01
Football Manager 2016,PC,2015.0,Simulation,Sega,0.0,0.33,0.0,0.02
Resident Evil: Dead Aim,PS2,2003.0,Action,Capcom,0.17,0.13,0.0,0.04
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009.0,Strategy,Electronic Arts,0.14,0.15,0.0,0.06
Need for Speed Carbon,GC,2006.0,Racing,Electronic Arts,0.27,0.07,0.0,0.01
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GBA,2003.0,Action,THQ,0.25,0.09,0.0,0.01
FIFA Soccer 13,PSP,2012.0,Action,Electronic Arts,0.05,0.18,0.02,0.09
The Fairly Odd Parents: Shadow Showdown,PS2,2004.0,Platform,THQ,0.17,0.13,0.0,0.04
EA Sports MMA,X360,2010.0,Fighting,Electronic Arts,0.23,0.09,0.0,0.02
Saban's Power Rangers: Lightspeed Rescue,PS,2000.0,Action,THQ,0.19,0.13,0.0,0.02
Xbox Music Mixer,XB,2003.0,Misc,Microsoft Game Studios,0.26,0.08,0.0,0.01
Defiance,PS3,2013.0,Shooter,Trion Worlds,0.19,0.1,0.0,0.06
Terminator Salvation,X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.13,0.18,0.0,0.04
CSI: Deadly Intent - The Hidden Cases,DS,2009.0,Adventure,Ubisoft,0.16,0.15,0.0,0.04
College Hoops 2K8,PS2,2007.0,Sports,Take-Two Interactive,0.17,0.13,0.0,0.04
Destiny: The Taken King,X360,2015.0,Shooter,Activision,0.24,0.08,0.0,0.03
Pac-Man All-Stars,PS3,2011.0,Fighting,Namco Bandai Games,0.2,0.07,0.04,0.04
Guitar Hero: Metallica,PS2,2009.0,Misc,Activision,0.17,0.13,0.0,0.04
Guilty Gear X2,PS2,2002.0,Fighting,Sammy Corporation,0.09,0.07,0.16,0.02
Chicken Shoot,Wii,2007.0,Action,Zoo Digital Publishing,0.32,0.0,0.0,0.02
Tom Clancy's Rainbow Six: Lockdown,PS2,2005.0,Shooter,Ubisoft,0.17,0.13,0.0,0.04
From TV Animation One Piece: Tobidase Kaizokudan!,PS,2001.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.32,0.02
MotoGP 08,X360,2008.0,Racing,Capcom,0.11,0.2,0.0,0.04
LEGO Marvel's Avengers,XOne,2016.0,Action,Warner Bros. Interactive Entertainment,0.19,0.12,0.0,0.03
The Tale of Despereaux,PS2,2008.0,Platform,Brash Entertainment,0.17,0.13,0.0,0.04
Aggressive Inline,PS2,2002.0,Sports,Acclaim Entertainment,0.17,0.13,0.0,0.04
Mirror's Edge Catalyst,PS4,2016.0,Platform,Electronic Arts,0.11,0.16,0.02,0.05
Sniper Elite 3,XOne,2014.0,Shooter,505 Games,0.2,0.11,0.0,0.03
Hello Kitty Daily,DS,2008.0,Misc,Nobilis,0.32,0.0,0.0,0.03
NFL Street,GC,2004.0,Sports,Electronic Arts,0.27,0.07,0.0,0.01
Karaoke Revolution,PS2,2003.0,Misc,Konami Digital Entertainment,0.17,0.13,0.0,0.04
